url,local,nombre_show,n_opiniones,num_paginas
/entradas/deskarao-ismael-galan_e4899544/,Teatro de las Aguas,Deskarao Ismael Galan,0,0
/entradas/me-parto-carlos-moreno-_e4893520/,Teatro de las Aguas,Me Parto Carlos Moreno ,101,11
/entradas/la-impro-de-mi-vida-daniela-exposito_e4900707/,Teatro de las Aguas,La Impro De Mi Vida Daniela Exposito,0,0
/entradas/acid-love-pabler-cabrera_e4901236/,Teatro de las Aguas,Acid Love Pabler Cabrera,0,0
/entradas/gente-bien_e4891270/,Teatro de las Aguas,Gente Bien,8,1
/entradas/ultima-hora_e4898278/,Teatro de las Aguas,Ultima Hora,7,1
/entradas/mi-gran-noche-griega-the-greek-dzinius-dzimis-tsapas_e4901495/,Teatro de las Aguas,Mi Gran Noche Griega The Greek Dzinius Dzimis Tsapas,2,1
/entradas/anticensura-luis-coto_e4893919/,Teatro de las Aguas,Anticensura Luis Coto,0,0
/entradas/el-show-de-max-marieges-noches-de-comedia-_e4898844/,Estación Malasaña,El Show De Max Marieges Noches De Comedia ,1028,103
/entradas/noche-de-chicas-monologos-unicamente-por-y-para-mujeres-_e4897749/,Clandestino Café Teatro,Noche De Chicas Monologos Unicamente Por Y Para Mujeres ,1011,102
/entradas/isabel-rey-diva-de-barrio_e4895561/,El Golfo Comedy Club,Isabel Rey Diva De Barrio,6,1
/entradas/traficante-de-risas-boira-sigue-vivo_e4887832/,Clandestino Café Teatro,Traficante De Risas Boira Sigue Vivo,1,1
/entradas/ganso-un-show-de-edu-j_e4895291/,El Sombrerero Comedy Club,Ganso Un Show De Edu J,6,1
/entradas/el-ahorcado-open-mic_e4892838/,El Golfo Comedy Club,El Ahorcado Open Mic,6,1
/entradas/angeles-y-demonios-el-show-de-humor-de-carolina-noriega_e4898418/,Estación Malasaña,Angeles Y Demonios El Show De Humor De Carolina Noriega,20,3
/entradas/el-humor-de-los-90s-hoy_e4889735/,Clandestino Café Teatro,El Humor De Los 90S Hoy,6,1
