fecha,nota_total,grupo_de,calidad_del_espectáculo,puesta_en_escena,interpretación_artística,nombre_show,nombre_local
2023-01-23,9.1,Amigos,10,7.5,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-10,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-02,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-30,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-27,9.1,Pareja,7.5,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-07,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-27,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-16,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-11,10,Solo,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-05,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-17,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-06,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-28,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-17,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-14,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-16,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-01,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-12,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-08,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-09,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-04,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-22,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-18,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-21,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-20,9.1,Pareja,10,10,7.5,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-20,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-14,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-10,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-15,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-13,9.1,Pareja,10,10,7.5,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-27,9.1,Family,10,7.5,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-19,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-27,9.1,Family,10,7.5,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-13,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-24,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-17,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-27,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-12,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-29,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-08,10,Solo,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-27,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-09,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-08,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-01,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-25,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-16,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-16,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-30,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-30,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-30,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-23,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-13,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-05,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-20,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-14,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-30,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-23,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-03-23,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-16,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-08,10,Solo,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-12,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-24,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-13,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-11-11,9.1,Pareja,10,10,7.5,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-18,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-13,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-07,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-24,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-19,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-25,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-06,9.1,Pareja,10,7.5,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-10-18,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-12,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-01-16,9.1,Amigos,10,10,7.5,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2022-12-05,10,Family,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-02-23,10,Amigos,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
2023-04-12,10,Pareja,10,10,10,Los Monologos De El Golfo Comedy Club En Madrid,El Golfo Comedy Club
